course	minutes	title	path
Micro	13	Candida albicans	opportunistic-fungal-infections/lesson/candida-albicans
Micro	11	Aspergillus fumigatus	opportunistic-fungal-infections/lesson/aspergillus-fumigatus
Micro	9	Cryptococcus neoformans	opportunistic-fungal-infections/lesson/cryptococcus-neoformans
Micro	6	Mucor spp. & Rhizopus spp. (Mucormycetes)	opportunistic-fungal-infections/lesson/mucor-spp-rhizopus-spp-mucormycetes
Micro	6	Pneumocystis jirovecii	opportunistic-fungal-infections/lesson/pneumocystis-jirovecii
Micro	11	Picornaviridae Overview	rna-viruses-positive-sense/lesson/picornaviridae-overview
Micro	7	Poliovirus (Picornaviridae)	rna-viruses-positive-sense/lesson/poliovirus-picornaviridae
Micro	5	Coxsackievirus A & B (Picornaviridae)	rna-viruses-positive-sense/lesson/coxsackievirus-a-b-picornaviridae
Micro	5	Rhinovirus (Picornaviridae)	rna-viruses-positive-sense/lesson/rhinovirus-picornaviridae
Micro	7	Hepatitis A Virus (Picornaviridae)	rna-viruses-positive-sense/lesson/hepatitis-a-virus-picornaviridae
Micro	5	Norovirus & Norwalk Virus (Caliciviridae)	rna-viruses-positive-sense/lesson/norovirus-norwalk-virus-caliciviridae
Micro	9	Flaviviridae Overview	rna-viruses-positive-sense/lesson/flaviviridae-overview
Micro	7	Hepatitis C Virus (Flaviviridae)	rna-viruses-positive-sense/lesson/hepatitis-c-virus-flaviviridae
Micro	13	Coronavirus (Coronaviridae)	rna-viruses-positive-sense/lesson/coronavirus-coronaviridae
Micro	7	Equine Encephalitis Viruses & Chikungunya Virus (Togaviridae)	rna-viruses-positive-sense/lesson/equine-encephalitis-viruses-chikungunya-virus-togaviridae
Micro	6	Rubella Virus (Matonaviridae)	rna-viruses-positive-sense/lesson/rubella-virus-matonaviridae
Micro	15	HIV Overview (Retroviridae)	rna-viruses-positive-sense/lesson/hiv-overview-retroviridae
Micro	9	HIV Life Cycle (Retroviridae)	rna-viruses-positive-sense/lesson/hiv-life-cycle-retroviridae
Micro	18	Influenzavirus (Orthomyxoviridae)	rna-viruses-negative-sense/lesson/influenzavirus-orthomyxoviridae
Micro	13	Measles, Mumps, Parainfluenza Viruses (Paramyxoviridae)	rna-viruses-negative-sense/lesson/measles-mumps-parainfluenza-viruses-paramyxoviridae
Micro	6	Respiratory Syncytial Virus & Human Metapneumovirus (Pneumoviridae)	rna-viruses-negative-sense/lesson/respiratory-syncytial-virus-human-metapneumovirus-pneumoviridae
Micro	11	Rabies Virus (Rhabdoviridae)	rna-viruses-negative-sense/lesson/rabies-virus-rhabdoviridae
Micro	5	Ebolavirus & Marburgvirus (Filoviridae)	rna-viruses-negative-sense/lesson/ebolavirus-marburgvirus-filoviridae
Micro	6	Hantavirus, California Encephalitis, Rift Valley Fever Viruses (Bunyaviridae)	rna-viruses-negative-sense/lesson/hantavirus-california-encephalitis-rift-valley-fever-viruses-bunyaviridae
Micro	5	Lymphocytic Choriomeningitis Virus (Arenaviridae)	rna-viruses-negative-sense/lesson/lymphocytic-choriomeningitis-virus-arenaviridae
Micro	7	Rotavirus & Colorado Tick Fever Virus (Reoviridae)	rna-viruses-negative-sense/lesson/rotavirus-colorado-tick-fever-virus-reoviridae
Micro	11	Herpes Simplex Virus Types 1 & 2 (Herpesviridae)	dna-viruses/lesson/herpes-simplex-virus-types-1-2-herpesviridae
Micro	12	Cytomegalovirus (Herpesviridae)	dna-viruses/lesson/cytomegalovirus-herpesviridae
Micro	13	Epstein-Barr Virus (Herpesviridae)	dna-viruses/lesson/epstein-barr-virus-herpesviridae
Micro	12	Varicella-Zoster Virus (Herpesviridae)	dna-viruses/lesson/varicella-zoster-virus-herpesviridae
Micro	5	HHV-6 & Roseola (Herpesviridae)	dna-viruses/lesson/hhv-6-roseola-herpesviridae
Micro	7	HHV-8 & Kaposi's Sarcoma (Herpesviridae)	dna-viruses/lesson/hhv-8-kaposis-sarcoma-herpesviridae
